"product_id","star_rating","total_votes","helpful_votes","review_body","possentiment","neusentiment","negsentiment"
"B0083PWAPW","4","0","0","OK, so it's not an iPad, but it does 95% of everything an iPad does for a fraction of the price. Despite having its OS neutered by amazon into something close to garbage, this is an excellent tablet for the price. So before you waste your hard earned dollars on something just because it has a piece of fruit stamped on the back, do yourself a favor and check this one out.<br />A few gripes: the built in video and browser apps are terrible 3rd part ones have to be installed, the carousel is kind of a nice touch, but it makes it near impossible to personalize with shortcuts and links, despite being \\""android\\"" it is not Google friendly, which is a pain.<br />Recommendations to Amazon: I can get around most of the issues with this product except for the inability to link with Google apps and products easily. Make google your friend, and rule the tablet world.","0.14","0.767","0.093"
"B00BWYRF7E","3","1","1","I have been a long time supporter of Kindles, and went from the 1st gen Kindle Fire to this one. While the display is bright and better than the 1st gen Fire, I prefer the 1st gen for the way content is organized on the home screen.","0.153","0.754","0.093"
"B0083Q04IQ","5","0","0","the kindle is almost my best friend!!!!  love, love, love  it.  hate what it's doing to the print industry, tho.","0.486","0.412","0.102"
"B0083PWAPW","1","1","1","So disappointed with this product.  We have owned this product for less than 2 years, and it no longer works.  I was online with an Amazon tech tonight, hoping that they could resussitate it, but no luck.  They offered me a discount on a new one, which I appreciate, but I am not sure I want to be burned again.  $199....down the drain!","0.162","0.686","0.152"
"B0051VVOB2","5","1","1","I love the graphics first of all. I love that I have all my books that I want to read right at my finger tips. I would not trade my fire for any other tablet. This is a must have'!!","0.291","0.709","0.0"
"B0083PWAPW","3","3","2","I have to say that I never intended to get a kindle fire. But after my neice got the Fire for $159 I really liked the new design and thought it was cool. So I decided to buy one and decided to upgrade to the Fire HD. I have to say it is nice looking and is pretty cool but I am kinda disappointed in it. I do not believe it deserves 5 stars for a few reasons.<br />- First off I can not understand why they can not supply a faster charger for this thing?! 13.5 hours to charge is ridiculous!!! Who really wants to wait half a day to play with it again. You can buy the rapid charger, which I did and that's another story I will get to, but if you do not buy at same time as kindle it will cost you 19.99, crazy!! If your going to get a Fire buy the rapid charger!!!! I did buy the charger at the same time and it was shipped the same day but guess what I still have not got my charger. I am a prime member and I should have gotten it the same day as my kindle but I'm still waiting.<br />- Another thing is I charged my Fire all night and played with it for about 4 to 5 hours and it was dead and needed another charge so now I can play with it again tomorrow. Yes I did download 3 songs to it from my cloud and we checked out one video for about 3 minutes. I downloaded 3 apps and then shut off the wireless. I played angry birds and read a few pages from a book. But after 4 to 5 hours I had to recharge. Seems a little nuts for a device that costs $199 to have such fast battey run down.<br />- The most unbelieveable thing is the camera that come with your Fire that you paid $199 for does NOT work!! That's right folks you have to buy a app that makes it work. I could NOT believe it. I still can't! I could not figure out how to turn it on until I read that you have to buy an app for it to work. It's nuts!!!<br />- I can not understand why you do not get some kind of book to read how to use the stupid thing. I went to the amazon site and found the info on how to use it but come on and small, short book would have been nice.<br /> I guess overall its not a bad device and its kinda neat. The picture is nice and the speakers are really nice but those things alone does not just giving it 5 stars. I feel it would have been a 5 star if the charger was included, the battery was a little longer and the damn camera actually worked without buying an app to make it work! I'm a little disappointed in this Kindle, especially since I paid $199 for it. I love Amazon but they really goofed on this one.<br /><br />**It was brought to my attention that there is an app under \\""photos\\"" at the top corner for the camera. I did not see it and I will have to try tomorrow to find it because I have to wait 13 hours for my fire to charge. I will update if I figure it out. This is why a book with this kind of information would be nice to have, Amazon!l, short book would have been nice.<br /> I guess overall its not a bad device and its kinda neat. The picture is nice and the speakers are really nice but those things alone does not just giving it 5 stars. I feel it would have been a 5 star if the charger was included, the battery was a little longer and the damn camera actually worked without buying an app to make it work! I'm a little disappointed in this Kindle, especially since I paid $199 for it. I love Amazon but they really goofed on this one.<br /><br />**It was brought to my attention that there is an app under \\""photos\\"" at the top corner for the camera. I did not see it and I will have to try tomorrow to find it because I have to wait 13 hours for my fire to charge. I will update if I figure it out. This is why a book with this kind of information would be nice to have, Amazon!","0.11","0.796","0.094"
"B0083PWAPW","5","0","0","This item is good for a reader of all books. I'm not too familiar with the camera because it faces you. I need to practice with it more.I use this item for facebook, e-mails reading playing games, love the free games. This item I would say its  not above or below my expectation I would say I'm fairly satisfied with it.I just wish the camera was so you could take pictures away from facing you. Thank you.","0.234","0.766","0.0"
"B0083PWAPW","1","0","0","Pretty much the whole Amazon Market sucks because it doesnt have 1/12 of Google play or like an Apple product. so pretty much it sucked it you want my honesty","0.41","0.468","0.122"
"B00BWYRF7E","5","1","1","Great graphics & picture quality, both pictures & videos are really great!  The only negative is in the battery drain.  It's not really a problem, but I was expecting the time to recharge to be more than 7-8 hours during high use.  Otherwise I would highly recommend the Kindle Fire HDX model. Happy with the speed & storage space as well (I have the 32 GB model).","0.242","0.687","0.071"
"B0083PWAPW","5","1","1","this is my first tablet and I love it. I already owned the previous kindle reader and was pleased with it . when it came time to progress to a reasonably priced tablet  I chose the kindle fire. I couldn't be happier with my decision. ease of operation and great graphics PERFECT","0.327","0.593","0.081"
"B0083Q04IQ","2","2","1","I love this device, it is SO much better than the Nook! Problem is, the software is literally the WORST EVER!!!!!!!!!!!!!!! I constantly have to shut down the stupid thing and at the moment, it's taking forever to write this because the little blinking line keeps going back to the start of this review so that I have to keep deleting words behind the first letter. It also lags A Lot. The k.f. sorts all apps and similar things by what you used last, so if I played Temple Run most recently, that app would be at the front of the line. The line of consistently out of the correct order and if it is, any app you plan to pay just flat out doesn't work and you can't do anything. When problems such as these occur, most","0.07","0.808","0.122"
"B00BWYQ9YE","4","0","0","I have owned and enjoyed the 7 inch, Fire and Fire HD.<br />Just received the Fire HDX 7 inch, very easy to set up and much faster than the Fire HD, it will hopefully replace. Email, Words-with-friends, etc. work great on the HDX. Instead of replacing the Fire HD, I use both the HD and HDX now because the HDX does not have the Zinga Poker app, which is on the HD device. The Mayday (which is unbelievably great) rep said Zinga Poker has not written the spec for the HDX yet. If I had know the HDX is missing apps I am used to playing on the HD, I would have not upgraded to the HDX, until everything that I had on the HD was available on the HDX. Hope this helps...","0.124","0.778","0.098"
"B0083PWAPW","5","1","1","I chose this rating cause this is how I feel. The Kindle Fire HD 7 is awesome, It is everything I can want in a tablet. I recommend this to all my friends and everybody else! I take mind everywhere I go. I love it. My order came right on time. Thanks.","0.324","0.634","0.042"
"B0051VVOB2","5","2","1","Love my Kindle Fire, had to buy one for a friend and am planning on getting one for my son as he ventures off to school! Would recommend this product for those who want something different that the normal pc life!","0.24","0.712","0.049"
"B00BWYQ9YE","5","1","0","ordered this as holiday gift for me. love it, love it. the color is so bright. love the prime film downloading. making movie watching easy. would like amazon to hook up with m-edge to get another choice for holder, one with room to store the charging cord.","0.433","0.567","0.0"
"B00BWYQ9YE","2","3","1","I have been an iOS user since the very first iPad. I also own an iPhone. However; I pretty much hate the User Interface of iOS 7 and I find the phone too small for web browsing. My iPad is so old, that web pages overload the internal memory and cause crashes. So, I decided the time was right to start exploring Android. I found the Amazon interface to be confusing. Too much going on. I also really don't like how I am limited to the Amazon store (but I do understand the business model of them offering the tablet cheaper for that reason).  In the end, I figured I could live with the shortcomings for $155. I was wrong.<br /><br />The problem is not Android. I am going to end up buying a Nexus. I also have decided I do not like the 7 inch tablet form factor but for some reason, I found web pages in the Nexus 7 inch easier to read than the Fire HDX 7 inch. Perhaps there is a font difference?","0.051","0.857","0.092"
"B00BWYQ9YE","5","0","0","I bought this for my daughter for Christmas and she hasn't put it down since :-)  I can see why there are parental controls now!!  She can play games, watch movies, read books, and on and on!  Customer Service was awesome!!","0.217","0.783","0.0"
"B0083PWAPW","5","0","0","Its perfectic for me I like to read and play different games so when I am traveling it works great for me.  I like the size and the color screen is easy on the eyes.  I can browes the internet and do facebook too.  Great weather app. so whats not to love!","0.298","0.649","0.053"
"B0083Q04IQ","4","0","0","It is easy to use, but I would like it if you had to put a password in every time you made a purchase because my son is the one who uses it the most.","0.148","0.852","0.0"
"B0083PWAPW","2","4","1","the Kindle is fine for email reading books and magazines and for Facebook type stuff. The internet browser sucks. Many online videos will not play on the Kindle. Unless all you want to do is email and read books I would suggest something else.","0.066","0.836","0.097"
"B0083Q04IQ","5","0","0","I'm in love with my kindle fire.  I wish it had 3G or 4G, and I know I could buy one with it, but I don't want to spend that much $.  Other than that my family gets a ton of enjoyment from this awesome product.  And kindle support is awesome.","0.371","0.583","0.046"
"B0051VVOB2","5","6","5","I bought the Fire as a Christmas present to myself. I had some second thoughts after reading some of the negative reviews. I held off until Christmas to unwrap the package and I couldn't have been more surprised. The Fire has operated as promised. Too many reviewers tried to compare the Fire with an IPAD, which it is not. It is exactly what Amazon advertised. I find the Silk browser to be as fast as IE 8 on my desktop, the display is awesome, steaming content plays without interruption, and using the Fire is intuitive. As promised the Fire is a media consumption device with the added ability to access the internet and email. It allows me avoid booting up my desktop just for a quick email check or web search. I am sure there are more apps that I could install, but so far everything that I want or think I need has been available--including Angry Birds. There are still features I haven't used, such as the Cloud, but as time goes on I expect the Fire will handle them seemlessly. The only thing I find even a bit disappointing is a rather narrow selection of free media on Prime. The hype with Prime was there were thousands of free video and text available. I am sure there are if one was to count, but the question is how many of them would a consumer really want to view or read.  All in all the Fire is a great buy and I will most likely purchase a second one for my wife.","0.129","0.772","0.099"
