,product_id,star_rating,total_votes,helpful_votes,review_body,possentiment,neusentiment,negsentiment,reviews
0,B0083PWAPW,4,0,0,not iPad but does everything iPad does for fraction the price Despite having its neutered amazon into something close garbage this excellent tablet for the price before you waste your hard earned dollars something just because has piece fruit stamped the back yourself favor and check this one out few gripes the built video and browser apps are terrible part ones have installed the carousel kind nice touch but makes near impossible with shortcuts and links despite being android not Google friendly which pain Amazon can get around most the issues with this product except for the inability link with Google apps and products easily Make google your friend and rule the tablet world,0.14,0.767,0.09300000000000001,ipad everything ipad fraction price despite neutered amazon something close garbage excellent tablet price waste hard earned dollars something piece fruit stamped back favor check one gripes built video browser apps terrible part ones installed carousel kind nice touch makes near impossible shortcuts links despite android google friendly pain amazon around issues product except inability link google apps products easily make google friend rule tablet world
1,B00BWYRF7E,3,1,1,have been long time supporter Kindles and went from the gen Kindle Fire this one While the display bright and better than the gen Fire prefer the gen for the way content organized the home screen,0.153,0.754,0.09300000000000001,long time supporter kindles went gen kindle fire one while display bright better gen fire prefer gen way content organized home screen
2,B0083Q04IQ,5,0,0,the kindle almost best friend love love love hate what doing the print industry tho,0.486,0.41200000000000003,0.102,kindle almost best friend love love love hate print industry tho
3,B0083PWAPW,1,1,1,with this product have owned this product for less than years and longer works was online with Amazon tech tonight hoping that they could but luck They offered discount new one which appreciate but not sure want burned again down the drain,0.162,0.6859999999999999,0.152,product owned product less years longer works online amazon tech tonight hoping could luck they offered discount new one appreciate sure want burned drain
4,B0051VVOB2,5,1,1,love the graphics first all love that have all books that want read right finger tips would not trade fire for any other tablet This must have,0.29100000000000004,0.7090000000000001,0.0,love graphics first love books want read right finger tips trade fire tablet this must
5,B0083PWAPW,3,3,2,have say that never intended get kindle fire But after neice got the Fire for really liked the new design and thought was cool decided buy one and decided upgrade the Fire have say nice looking and pretty cool but kinda not believe deserves stars for few reasons First off can not understand why they can not supply faster charger for this thing hours charge ridiculous Who really wants wait half day play with again You can buy the rapid charger which did and that another story will get but you not buy same time kindle will cost you crazy your going get Fire buy the rapid charger did buy the charger the same time and was shipped the same day but guess what still have not got charger prime member and should have gotten the same day kindle but still waiting Another thing charged Fire all night and played with for about hours and was dead and needed another charge now can play with again tomorrow Yes did download songs from cloud and checked out one video for about minutes downloaded apps and then shut off the wireless played angry birds and read few pages from book But after hours had recharge Seems little nuts for device that costs have such fast battey run down The most thing the camera that come with your Fire that you paid for does NOT work That right folks you have buy app that makes work could NOT believe still can could not figure out how turn until read that you have buy app for work nuts can not understand why you not get some kind book read how use the stupid thing went the amazon site and found the info how use but come and small short book would have been nice guess overall its not bad device and its kinda neat The picture nice and the speakers are really nice but those things alone does not just giving stars feel would have been star the charger was included the battery was little longer and the damn camera actually worked without buying app make work little this Kindle especially since paid for love Amazon but they really goofed this one was brought attention that there app under photos the top corner for the camera did not see and will have try tomorrow find because have wait hours for fire charge will update figure out This why book with this kind would nice have Amazon short book would have been nice guess overall its not bad device and its kinda neat The picture nice and the speakers are really nice but those things alone does not just giving stars feel would have been star the charger was included the battery was little longer and the damn camera actually worked without buying app make work little this Kindle especially since paid for love Amazon but they really goofed this one was brought attention that there app under photos the top corner for the camera did not see and will have try tomorrow find because have wait hours for fire charge will update figure out This why book with this kind would nice have Amazon,0.11,0.7959999999999999,0.094,say never intended kindle fire but neice fire really liked new design thought cool decided buy one decided upgrade fire say nice looking pretty cool kinda believe deserves stars reasons first understand supply faster charger thing hours charge ridiculous who really wants wait half day play you buy rapid charger another story buy time kindle cost crazy going fire buy rapid charger buy charger time shipped day guess still charger prime member gotten day kindle still waiting another thing charged fire night played hours dead needed another charge play tomorrow yes download songs cloud checked one video minutes downloaded apps shut wireless played angry birds read pages book but hours recharge seems little nuts device costs fast battey run the thing camera come fire paid not work that right folks buy app makes work could not believe still could figure turn read buy app work nuts understand kind book read stupid thing went amazon site found info come small short book nice guess overall bad device kinda neat the picture nice speakers really nice things alone giving stars feel star charger included battery little longer damn camera actually worked without buying app make work little kindle especially since paid love amazon really goofed one brought attention app photos top corner camera see try tomorrow find wait hours fire charge update figure this book kind nice amazon short book nice guess overall bad device kinda neat the picture nice speakers really nice things alone giving stars feel star charger included battery little longer damn camera actually worked without buying app make work little kindle especially since paid love amazon really goofed one brought attention app photos top corner camera see try tomorrow find wait hours fire charge update figure this book kind nice amazon
6,B0083PWAPW,5,0,0,This item good for reader all books not too familiar with the camera because faces you need practice with more use this item for facebook mails reading playing games love the free games This item would say its not above below would say fairly satisfied with just wish the camera was you could take pictures away from facing you Thank you,0.23399999999999999,0.7659999999999999,0.0,this item good reader books familiar camera faces need practice item facebook mails reading playing games love free games this item say say fairly satisfied wish camera could take pictures away facing thank
7,B0083PWAPW,1,0,0,Pretty much the whole Amazon Market sucks because doesnt have Google play like Apple product pretty much sucked you want honesty,0.41,0.46799999999999997,0.122,pretty much whole amazon market sucks doesnt google play like apple product pretty much sucked want honesty
8,B00BWYRF7E,5,1,1,Great graphics picture quality both pictures videos are really great The only negative the battery drain not really problem but was expecting the time recharge more than hours during high use Otherwise would highly recommend the Kindle Fire HDX model Happy with the speed storage space well have the model,0.242,0.687,0.071,great graphics picture quality pictures videos really great the negative battery drain really problem expecting time recharge hours high otherwise highly recommend kindle fire hdx model happy speed storage space well model
9,B0083PWAPW,5,1,1,this first tablet and love already owned the previous kindle reader and was pleased with when came time progress reasonably priced tablet chose the kindle fire couldn happier with decision ease operation and great graphics PERFECT,0.327,0.593,0.081,first tablet love already owned previous kindle reader pleased came time progress reasonably priced tablet chose kindle fire happier decision ease operation great graphics perfect
